,Num,AGE,GENDER,NegEmot1,NegEmot2,NegEmot3,Egal1,Egal2,Egal3,Ind1,Ind2,Ind3,GovSupport1,GovSupport2,GovSupport3
135,205,25,2,4,4,4,5,5,3,2,3,4,3,3,3
136,206,26,2,6,6,6,6,7,6,2,3,2,5,5,3
137,208,25,2,6,6,6,6,5,5,2,2,3,5,4,3
138,209,24,2,6,6,7,5,5,6,2,2,2,5,4,5
139,210,23,2,2,3,4,4,6,5,2,4,3,3,4,3
140,211,23,2,5,5,5,6,7,5,3,3,4,6,6,6
141,212,24,2,4,5,5,5,4,5,2,3,3,5,5,5
142,213,24,1,7,7,7,6,6,6,1,2,3,6,6,5
143,214,24,1,7,6,6,6,6,6,1,3,3,5,5,3
144,216,23,1,4,5,3,4,5,5,2,2,2,6,5,6
145,217,23,1,6,4,5,6,5,5,2,2,2,5,5,4
146,218,24,1,4,4,5,4,4,6,6,6,5,6,5,3
147,219,23,1,5,7,7,7,7,5,2,3,4,7,5,7
148,220,23,1,6,7,7,6,7,7,1,1,2,6,5,5
149,221,23,1,6,6,6,5,6,6,2,2,2,6,5,4
150,222,23,1,6,7,7,7,6,6,2,1,2,7,5,2
151,223,25,1,7,7,7,6,5,6,2,2,2,6,6,5
152,224,23,1,5,3,5,5,5,5,3,3,3,4,4,2
153,225,23,1,7,7,7,6,6,7,2,2,2,6,4,2
154,226,23,1,2,3,4,5,4,5,4,4,5,1,3,3
155,228,23,1,3,6,7,5,7,6,3,5,5,7,7,6
156,230,23,1,4,4,4,5,4,6,3,3,4,7,7,7
157,234,23,1,5,5,5,7,6,7,2,3,2,7,7,7
158,235,23,1,4,4,4,4,3,4,4,4,5,3,3,2
159,236,23,1,4,7,6,5,6,4,2,2,2,5,4,2
160,239,23,1,2,4,3,4,5,5,3,3,4,5,5,4
161,240,23,1,5,5,5,5,5,5,5,5,5,5,4,5
162,241,23,1,3,3,4,4,4,4,4,4,4,5,5,6
163,242,22,1,7,7,7,6,7,7,3,1,1,7,5,2
164,243,22,1,5,5,5,4,6,6,1,1,2,7,5,6
165,244,22,1,7,7,7,7,7,7,1,1,1,4,5,5
166,245,22,1,6,6,6,5,5,5,2,2,1,6,5,2
167,247,22,1,3,5,4,6,6,6,4,2,3,6,6,5
168,248,23,1,1,6,6,5,7,5,3,3,4,3,2,1
169,251,23,1,6,5,4,6,6,6,1,1,1,3,4,4
