,Num,Age,Gender,AutSup,IntMot,Energy
38,67,33,1,2.3333333333333335,3.3333333333333335,6.333333333333333
39,68,33,1,3.6666666666666665,3.3333333333333335,6.666666666666667
40,69,34,1,4.0,4.666666666666667,4.0
41,70,34,1,2.0,5.666666666666667,5.666666666666667
42,71,33,1,2.0,5.333333333333333,5.666666666666667
43,72,33,1,2.6666666666666665,5.333333333333333,4.666666666666667
44,73,34,1,5.666666666666667,5.0,6.0
45,76,35,1,7.0,7.0,7.0
46,77,35,1,7.0,7.0,3.3333333333333335
47,79,36,1,7.0,6.666666666666667,5.666666666666667
48,80,35,1,4.0,5.333333333333333,7.0
49,81,35,1,7.0,6.333333333333333,6.0
50,82,35,2,6.333333333333333,6.333333333333333,5.0
51,83,35,2,5.0,7.0,4.666666666666667
52,84,35,2,6.333333333333333,5.333333333333333,4.333333333333333
53,85,35,2,5.333333333333333,6.333333333333333,7.0
54,87,34,2,5.333333333333333,6.0,5.0
55,90,36,2,6.0,5.333333333333333,4.666666666666667
56,91,36,2,5.333333333333333,7.0,7.0
57,93,35,2,6.0,5.666666666666667,5.333333333333333
58,94,35,1,7.0,6.0,4.666666666666667
59,95,36,1,7.0,6.666666666666667,5.666666666666667
60,96,35,1,5.666666666666667,6.333333333333333,6.0
61,98,35,1,2.0,4.0,4.666666666666667
62,100,35,1,5.666666666666667,5.333333333333333,6.0
63,102,36,1,5.0,5.333333333333333,5.666666666666667
64,104,35,1,5.666666666666667,5.666666666666667,6.0
65,105,35,1,6.0,5.0,5.5
66,106,35,1,5.666666666666667,5.0,4.666666666666667
67,107,35,1,5.0,5.0,4.333333333333333
68,108,35,1,5.666666666666667,5.333333333333333,6.333333333333333
69,109,36,1,5.666666666666667,4.333333333333333,6.0
70,110,35,1,5.0,4.333333333333333,3.3333333333333335
71,112,35,2,6.333333333333333,6.0,6.333333333333333
72,113,36,2,6.0,5.666666666666667,5.333333333333333
73,114,36,2,5.0,4.333333333333333,3.0
74,115,35,2,4.333333333333333,6.333333333333333,4.5
75,116,35,2,5.666666666666667,6.0,6.0
76,119,35,2,4.666666666666667,6.0,7.0
77,123,35,2,5.0,4.666666666666667,5.666666666666667
78,126,35,2,4.0,3.0,4.5
79,127,35,2,4.0,4.666666666666667,4.0
80,128,35,2,6.333333333333333,4.0,4.666666666666667
81,129,35,2,4.333333333333333,4.333333333333333,6.333333333333333
82,130,35,2,2.0,5.666666666666667,5.0
83,131,34,2,3.3333333333333335,5.333333333333333,5.0
84,134,35,2,2.6666666666666665,4.0,4.666666666666667
85,138,36,2,6.666666666666667,6.0,4.5
86,139,35,2,5.333333333333333,5.0,5.0
87,140,35,2,4.0,4.0,4.0
88,141,35,2,4.0,5.0,5.666666666666667
89,142,35,2,4.666666666666667,5.0,3.6666666666666665
90,143,36,2,4.0,4.0,4.333333333333333
91,144,37,2,5.333333333333333,6.0,6.333333333333333
92,145,37,2,4.333333333333333,4.333333333333333,5.666666666666667
93,146,37,2,1.0,3.0,1.6666666666666667
94,147,37,2,6.333333333333333,5.0,5.0
95,148,36,2,4.0,6.0,4.5
