"X","Num","Age","GENDER","PER1","PER2","PER3","RUM1","RUM2","RUM3","EX1","EX2","EX3","EX4"
161,236,43,1,4,4,4,2,2,2,1,1,1,1
162,239,43,1,5,3,5,3,3,4,3,3,4,3
163,240,43,1,6,5,5,5,5,5,2,2,2,2
164,241,43,1,3,4,4,4,4,4,2,1,1,1
165,242,42,1,5,2,1,3,1,1,1,1,1,1
166,243,42,1,2,2,2,1,1,2,3,4,5,3
167,244,42,1,4,1,1,1,1,1,2,3,4,1
168,245,42,1,3,1,2,2,2,1,2,2,3,1
169,247,42,1,1,1,1,4,2,3,2,2,2,2
170,248,43,1,3,4,2,3,3,4,2,1,1,1
171,251,43,1,1,1,1,1,1,1,3,2,2,1
172,257,42,1,2,2,2,1,1,2,1,1,1,1
173,258,43,1,4,4,4,1,1,3,1,1,2,1
174,259,43,1,1,1,1,2,3,1,1,1,2,1
175,261,42,1,5,2,1,2,3,3,1,1,1,1
176,262,43,1,1,1,1,4,4,4,1,2,2,2
177,263,43,1,5,3,4,4,5,5,3,4,3,4
178,265,43,1,1,1,1,2,4,5,2,3,3,3
179,266,43,1,1,1,1,2,4,4,1,1,1,1
180,267,43,1,4,6,5,4,5,4,1,3,2,1
181,268,43,1,4,1,2,2,1,1,4,3,3,3
182,269,43,1,1,3,3,1,1,2,1,1,1,1
183,272,43,1,3,2,2,2,2,3,2,2,3,2
184,273,43,1,1,1,1,1,3,3,3,1,1,1
185,274,43,1,1,1,1,1,1,1,1,1,1,1
186,275,43,1,1,2,2,3,2,3,1,1,1,1
187,276,43,1,6,1,1,1,1,4,5,5,5,5
188,277,43,1,2,1,1,2,3,2,1,1,1,1
189,279,43,1,2,2,2,2,3,4,1,2,3,4
190,280,43,1,3,3,3,5,5,6,4,1,4,3
191,281,43,1,4,6,3,5,5,4,1,1,1,1
192,282,43,1,4,3,1,3,3,3,2,2,3,3
193,284,43,1,2,1,3,2,3,5,2,3,2,2
194,285,43,1,6,5,3,4,2,4,2,2,4,3
195,286,43,1,5,1,1,2,4,4,3,3,2,2
196,290,43,1,1,2,2,1,2,3,1,2,2,2
197,291,42,1,1,4,3,2,3,3,2,1,1,5
198,292,42,1,4,2,3,2,2,3,3,3,2,3
199,293,42,1,5,5,6,3,4,5,2,2,5,2
200,294,42,1,3,2,2,2,3,4,2,2,3,3
201,295,42,1,4,2,5,2,3,2,2,1,1,2
202,302,43,1,2,2,1,4,5,4,2,2,2,2
203,303,43,1,1,2,1,2,2,3,1,1,1,1
204,304,42,1,6,4,2,1,3,2,3,4,4,3
205,305,43,1,2,1,1,2,3,3,2,2,2,1
206,306,43,1,4,1,1,2,2,2,4,4,4,3
207,307,42,1,3,2,1,2,2,2,3,2,2,2
208,308,43,1,4,3,3,4,5,4,2,2,2,2
209,309,43,1,2,2,2,2,2,2,1,1,1,1
210,310,43,1,1,1,1,2,1,2,4,3,3,2
211,312,43,1,3,4,1,2,2,3,1,1,3,1
212,315,43,1,2,2,2,2,2,4,3,2,3,3
213,316,43,1,2,2,3,2,2,4,4,4,4,4
