,Num,AGE,GENDER,NegEmot1,NegEmot2,NegEmot3,Egal1,Egal2,Egal3,Ind1,Ind2,Ind3,GovSupport1,GovSupport2,GovSupport3
199,295,22.0,1,5.0,7,5.0,5.0,6.0,6,2,3.0,2.0,4,4.0,3
200,302,23.0,1,6.0,4,7.0,5.0,6.0,6,4,5.0,4.0,4,4.0,2
201,303,23.0,1,6.0,5,6.0,6.0,3.0,4,2,2.0,3.0,6,5.0,1
202,304,22.0,1,3.0,2,4.0,5.0,3.0,3,1,3.0,2.0,4,4.0,3
203,305,23.0,1,6.0,6,7.0,7.0,6.0,6,2,3.0,3.0,6,5.0,2
204,306,23.0,1,4.0,4,5.0,6.0,6.0,5,2,2.0,2.0,5,4.0,2
205,307,22.0,1,4.0,5,5.0,6.0,6.0,5,2,2.0,2.0,4,4.0,6
206,308,23.0,1,5.0,5,5.0,5.0,6.0,6,4,5.0,4.0,5,5.0,4
207,309,23.0,1,6.0,6,7.0,7.0,6.0,6,2,2.0,2.0,7,5.0,6
208,310,23.0,1,6.0,6,6.0,6.0,7.0,6,2,1.0,2.0,5,4.0,6
209,312,23.0,1,4.0,5,4.0,5.0,5.0,5,2,2.0,3.0,5,5.0,4
210,315,23.0,1,5.0,6,6.0,6.0,6.0,6,2,2.0,4.0,7,6.0,5
211,316,23.0,2,6.0,4,7.0,6.0,6.0,6,2,2.0,4.0,5,5.0,4
